,Algorithm,Track,Number_of_Moves
0,Q-Learning,L,27
10,Q-Learning,L,25
20,Q-Learning,L,24
30,Q-Learning,L,30
40,Q-Learning,L,28
50,Q-Learning,L,24
60,Q-Learning,L,25
70,Q-Learning,L,26
80,Q-Learning,L,31
90,Q-Learning,L,25

1,Q-Learning,O,44
11,Q-Learning,O,38
21,Q-Learning,O,39
31,Q-Learning,O,47
41,Q-Learning,O,42
51,Q-Learning,O,41
61,Q-Learning,O,42
71,Q-Learning,O,42
81,Q-Learning,O,41
91,Q-Learning,O,36

2,Q-Learning,R,61
12,Q-Learning,R,49
22,Q-Learning,R,54
32,Q-Learning,R,57
42,Q-Learning,R,55
52,Q-Learning,R,55
62,Q-Learning,R,56
72,Q-Learning,R,59
82,Q-Learning,R,51
92,Q-Learning,R,53

3,Q-Learning,R_Hard,67
13,Q-Learning,R_Hard,77
23,Q-Learning,R_Hard,61
33,Q-Learning,R_Hard,69
43,Q-Learning,R_Hard,65
53,Q-Learning,R_Hard,65
63,Q-Learning,R_Hard,66
73,Q-Learning,R_Hard,62
83,Q-Learning,R_Hard,62
93,Q-Learning,R_Hard,61

4,Q-Learning,W,40
14,Q-Learning,W,48
24,Q-Learning,W,29
34,Q-Learning,W,32
44,Q-Learning,W,29
54,Q-Learning,W,26
64,Q-Learning,W,27
74,Q-Learning,W,42
84,Q-Learning,W,44
94,Q-Learning,W,34

5,SARSA,L,31
15,SARSA,L,26
25,SARSA,L,32
35,SARSA,L,40
45,SARSA,L,26
55,SARSA,L,31
65,SARSA,L,27
75,SARSA,L,32
85,SARSA,L,30
95,SARSA,L,31

6,SARSA,O,51
16,SARSA,O,56
26,SARSA,O,54
36,SARSA,O,45
46,SARSA,O,51
56,SARSA,O,54
66,SARSA,O,56
76,SARSA,O,51
86,SARSA,O,53
96,SARSA,O,47

7,SARSA,R,50
17,SARSA,R,52
27,SARSA,R,49
37,SARSA,R,57
47,SARSA,R,55
57,SARSA,R,55
67,SARSA,R,44
77,SARSA,R,57
87,SARSA,R,52
97,SARSA,R,60

8,SARSA,R_Hard,70
18,SARSA,R_Hard,60
28,SARSA,R_Hard,62
38,SARSA,R_Hard,70
48,SARSA,R_Hard,70
58,SARSA,R_Hard,65
68,SARSA,R_Hard,67
78,SARSA,R_Hard,62
88,SARSA,R_Hard,74
98,SARSA,R_Hard,58

9,SARSA,W,29
19,SARSA,W,25
29,SARSA,W,24
39,SARSA,W,36
49,SARSA,W,24
59,SARSA,W,28
69,SARSA,W,23
79,SARSA,W,27
89,SARSA,W,29
99,SARSA,W,22
